date,school_id,staff_existing_cases,staff_new_cases,student_existing_cases,student_new_cases,teacher_existing_cases,teacher_new_cases,moving_average_cases_staff,moving_average_cases_student,moving_average_cases_teacher
2020-09-17,0,6.0,0.0,36.0,0.0,6.0,1.0,0,0,0
2020-09-18,0,5.0,0.0,52.0,0.0,4.0,0.0,0,0,0
2020-09-19,0,3.0,0.0,18.0,0.0,6.0,0.0,0,0,0
2020-09-20,0,5.0,0.0,14.0,0.0,7.0,0.0,0,0,0
2020-09-21,0,17.0,0.0,63.0,0.0,13.0,0.0,0,0,0
2020-09-22,0,7.0,0.0,30.0,0.0,5.0,1.0,0,0,0
2020-09-23,0,15.0,0.0,37.0,1.0,7.0,0.0,0,0,0
2020-09-24,0,15.0,0.0,53.0,0.0,13.0,0.0,0,0,0
2020-09-25,0,17.0,0.0,47.0,0.0,9.0,2.0,0,0,0
2020-09-26,0,5.0,0.0,22.0,0.0,4.0,0.0,0,0,0
2020-09-27,0,9.0,2.0,19.0,0.0,11.0,1.0,0,0,0
2020-09-28,0,21.0,0.0,105.0,3.0,16.0,0.0,0,0,0
2020-09-29,0,14.0,1.0,42.0,0.0,14.0,0.0,0,0,0
2020-09-30,0,19.0,0.0,68.0,0.0,8.0,0.0,0,0,0
2020-10-01,0,21.0,1.0,53.0,0.0,9.0,0.0,0,0,0
2020-10-02,0,17.0,0.0,71.0,0.0,13.0,0.0,0,0,0
2020-10-03,0,3.0,0.0,19.0,0.0,5.0,0.0,0,0,0
2020-10-04,0,11.0,0.0,24.0,0.0,11.0,0.0,0,0,0
2020-10-05,0,22.0,0.0,87.0,1.0,15.0,0.0,0,0,0
2020-10-06,0,12.0,0.0,81.0,1.0,18.0,1.0,0,0,0
2020-10-07,0,15.0,1.0,73.0,0.0,17.0,0.0,0,0,0
2020-10-08,0,28.0,0.0,87.0,0.0,14.0,0.0,0,0,0
2020-10-09,0,16.0,0.0,80.0,0.0,15.0,0.0,0,0,0
2020-10-10,0,9.0,0.0,28.0,0.0,9.0,0.0,0,0,0
2020-10-11,0,13.0,0.0,36.0,0.0,11.0,0.0,0,0,0
2020-10-12,0,25.0,1.0,133.0,1.0,19.0,1.0,0,0,0
2020-10-13,0,22.0,0.0,74.0,0.0,17.0,1.0,0,0,0
2020-10-14,0,24.0,1.0,73.0,0.0,18.0,0.0,0,0,0
2020-10-15,0,19.0,1.0,85.0,2.0,15.0,0.0,0,0,0
2020-10-16,0,24.0,0.0,93.0,0.0,16.0,0.0,0,0,0
2020-10-17,0,11.0,2.0,22.0,0.0,11.0,0.0,0,0,0
2020-10-18,0,9.0,0.0,27.0,0.0,13.0,1.0,0,0,0
2020-10-19,0,29.0,0.0,175.0,0.0,25.0,0.0,0,0,0
2020-10-20,0,17.0,1.0,99.0,5.0,18.0,4.0,0,0,0
2020-10-21,0,33.0,2.0,116.0,0.0,25.0,3.0,0,0,0
2020-10-22,0,27.0,3.0,116.0,0.0,20.0,2.0,0,0,0
2020-10-23,0,33.0,1.0,119.0,1.0,31.0,0.0,0,0,0
2020-10-24,0,16.0,1.0,30.0,0.0,11.0,0.0,0,0,0
2020-10-25,0,17.0,0.0,39.0,1.0,16.0,0.0,0,0,0
2020-10-26,0,34.0,1.0,206.0,1.0,43.0,2.0,0,0,0
2020-10-27,0,34.0,1.0,124.0,2.0,19.0,3.0,0,0,0
2020-10-28,0,59.0,2.0,136.0,1.0,33.0,0.0,0,0,0
2020-10-29,0,56.0,3.0,194.0,0.0,40.0,1.0,0,0,0
2020-10-30,0,38.0,0.0,202.0,4.0,40.0,0.0,0,0,0
2020-10-31,0,25.0,1.0,59.0,0.0,23.0,0.0,0,0,0
2020-11-01,0,28.0,0.0,63.0,1.0,40.0,0.0,0,0,0
2020-11-02,0,65.0,4.0,320.0,8.0,51.0,3.0,0,0,0
2020-11-03,0,48.0,3.0,201.0,10.0,48.0,6.0,0,0,0
2020-11-04,0,71.0,2.0,269.0,3.0,45.0,2.0,0,0,0
2020-11-05,0,79.0,7.0,307.0,7.0,59.0,3.0,0,0,0
2020-11-06,0,70.0,4.0,266.0,8.0,55.0,3.0,0,0,0
2020-11-07,0,26.0,1.0,83.0,2.0,39.0,3.0,0,0,0
2020-11-08,0,44.0,4.0,90.0,5.0,35.0,2.0,0,0,0
2020-11-09,0,112.0,7.0,616.0,62.0,84.0,3.0,0,0,0
2020-11-10,0,74.0,8.0,313.0,43.0,58.0,10.0,0,0,0
2020-11-11,0,84.0,7.0,320.0,36.0,69.0,13.0,0,0,0
2020-11-12,0,73.0,20.0,347.0,47.0,56.0,19.0,0,0,0
2020-11-13,0,44.0,33.0,296.0,107.0,47.0,32.0,0,0,0
2020-11-14,0,0.0,48.0,0.0,94.0,0.0,31.0,0,0,0
2020-11-15,0,0.0,47.0,0.0,116.0,0.0,49.0,0,0,0
2020-11-16,0,0.0,95.0,0.0,534.0,0.0,72.0,0,0,0
2020-11-17,0,0.0,67.0,0.0,291.0,0.0,51.0,0,0,0
2020-11-18,0,0.0,72.0,0.0,315.0,0.0,56.0,0,0,0
2020-11-19,0,0.0,63.0,0.0,287.0,0.0,61.0,0,0,0
2020-11-20,0,0.0,57.0,0.0,240.0,0.0,52.0,0,0,0
