school_id,school_name,county_fips,suppress_student_new,suppress_student_existing,suppress_teacher_new,suppress_teacher_existing,suppress_staff_new,suppress_staff_existing,longitude,latitude,student_new_cases,student_total_cases,teacher_new_cases,teacher_total_cases,staff_new_cases,staff_total_cases
0013,ADAMS CENTRAL MIDDLE SCHOOL,18001,2.0,1.0,2.0,2.0,2.0,2.0,-84.94287157,40.74582544,0.0,0.0,0.0,0.0,0.0,0.0
0017,SOUTH ADAMS MIDDLE SCHOOL,18001,2.0,2.0,2.0,2.0,2.0,2.0,-84.9592768,40.6471358,0.0,0.0,0.0,0.0,0.0,0.0
0020,ADAMS CENTRAL ELEMENTARY SCHOOL,18001,2.0,2.0,2.0,2.0,2.0,1.0,-84.94287157,40.74582544,0.0,0.0,0.0,0.0,0.0,0.0
0021,ADAMS CENTRAL HIGH SCHOOL,18001,1.0,1.0,2.0,2.0,1.0,1.0,-84.94287157,40.74582544,0.0,0.0,0.0,0.0,0.0,0.0
0023,SOUTH ADAMS HIGH SCHOOL,18001,2.0,2.0,2.0,2.0,2.0,2.0,-84.96053446,40.64683745,0.0,0.0,0.0,0.0,0.0,0.0
0025,SOUTH ADAMS ELEMENTARY SCHOOL,18001,2.0,1.0,2.0,2.0,2.0,2.0,-84.9598083,40.6471349,0.0,0.0,0.0,0.0,0.0,0.0
0029,BELLMONT SENIOR HIGH SCHOOL,18001,2.0,2.0,2.0,2.0,2.0,2.0,-84.91295495,40.83692664,0.0,0.0,0.0,0.0,0.0,0.0
0033,BELLMONT MIDDLE SCHOOL,18001,2.0,2.0,2.0,2.0,2.0,2.0,-84.91207827,40.83491628,0.0,0.0,0.0,0.0,0.0,0.0
0037,BELLMONT ELEMENTARY,18001,2.0,2.0,2.0,2.0,2.0,2.0,-84.91207827,40.83491628,0.0,0.0,0.0,0.0,0.0,0.0
0043,PRINCE CHAPMAN ACADEMY,18003,2.0,1.0,2.0,2.0,2.0,1.0,-85.07687578,41.03257317,0.0,0.0,0.0,0.0,0.0,0.0
0045,ABOITE ELEMENTARY SCHOOL,18003,1.0,1.0,2.0,2.0,2.0,2.0,-85.28647806,41.03874386,0.0,0.0,0.0,0.0,0.0,0.0
0046,WHISPERING MEADOW ELEMENTARY SCHOOL,18003,2.0,2.0,2.0,2.0,2.0,2.0,-85.25623658,41.07904918,0.0,0.0,0.0,0.0,0.0,0.0
0047,HOMESTEAD SENIOR HIGH SCHOOL,18003,1.0,0.0,2.0,2.0,1.0,1.0,-85.28455686,41.0416462,0.0,6.0,0.0,0.0,0.0,0.0
0049,LEO JR/SR HIGH SCHOOL,18003,1.0,0.0,2.0,1.0,2.0,2.0,-85.01882439,41.22010347,0.0,13.0,0.0,0.0,0.0,0.0
0053,LEO ELEMENTARY SCHOOL,18003,2.0,2.0,2.0,0.0,2.0,2.0,-85.01267832,41.22230873,0.0,0.0,0.0,6.0,0.0,0.0
0063,SUMMIT MIDDLE SCHOOL,18003,1.0,1.0,2.0,2.0,2.0,2.0,-85.28414937,41.04441183,0.0,0.0,0.0,0.0,0.0,0.0
0064,LAFAYETTE MEADOW SCHOOL,18003,2.0,2.0,2.0,2.0,2.0,2.0,-85.29261155,40.9950588,0.0,0.0,0.0,0.0,0.0,0.0
0067,WOODSIDE MIDDLE SCHOOL,18003,2.0,2.0,2.0,2.0,2.0,2.0,-85.31267143,41.06341322,0.0,0.0,0.0,0.0,0.0,0.0
0068,HAVERHILL ELEMENTARY SCHOOL,18003,2.0,2.0,2.0,2.0,2.0,2.0,-85.269322,41.03972495,0.0,0.0,0.0,0.0,0.0,0.0
0069,ARCOLA SCHOOL,18003,2.0,2.0,2.0,2.0,2.0,1.0,-85.2884129,41.1050182,0.0,0.0,0.0,0.0,0.0,0.0
0071,DEER RIDGE ELEMENTARY,18003,2.0,2.0,2.0,2.0,2.0,1.0,-85.27466925,41.07061919,0.0,0.0,0.0,0.0,0.0,0.0
0072,COVINGTON ELEMENTARY SCHOOL,18003,2.0,2.0,2.0,2.0,2.0,2.0,-85.31212205,41.06102006,0.0,0.0,0.0,0.0,0.0,0.0
0079,MAPLE CREEK MIDDLE SCHOOL,18003,2.0,0.0,2.0,2.0,2.0,1.0,-85.13675954,41.19993966,0.0,10.0,0.0,0.0,0.0,0.0
0081,HERITAGE JR/SR HIGH SCHOOL,18003,2.0,1.0,2.0,2.0,2.0,2.0,-84.96123658,40.97787589,0.0,0.0,0.0,0.0,0.0,0.0
0083,NEW HAVEN PRIMARY SCHOOL,18003,2.0,2.0,2.0,2.0,2.0,2.0,-85.00673188,41.06170534,0.0,0.0,0.0,0.0,0.0,0.0
0087,HICKORY CENTER ELEMENTARY SCHOOL,18003,1.0,1.0,2.0,2.0,2.0,2.0,-85.19448049,41.18435517,0.0,0.0,0.0,0.0,0.0,0.0
0089,HUNTERTOWN ELEMENTARY SCHOOL,18003,2.0,2.0,2.0,2.0,2.0,2.0,-85.17194484,41.22465553,0.0,0.0,0.0,0.0,0.0,0.0
0090,CARROLL MIDDLE SCHOOL,18003,1.0,1.0,2.0,1.0,2.0,1.0,-85.19654326,41.20584238,0.0,0.0,0.0,0.0,0.0,0.0
0091,CARROLL HIGH SCHOOL,18003,1.0,0.0,2.0,1.0,1.0,1.0,-85.19247588,41.19064216,0.0,15.0,0.0,0.0,0.0,0.0
0092,PERRY HILL ELEMENTARY SCHOOL,18003,2.0,2.0,2.0,2.0,2.0,2.0,-85.13552507,41.20454254,0.0,0.0,0.0,0.0,0.0,0.0
0094,OAK VIEW ELEMENTARY SCHOOL,18003,2.0,2.0,2.0,2.0,2.0,2.0,-85.13728627,41.20488524,0.0,0.0,0.0,0.0,0.0,0.0
0095,CEDAR CANYON ELEMENTARY SCHOOL,18003,1.0,1.0,2.0,2.0,2.0,2.0,-85.13390935,41.22252717,0.0,0.0,0.0,0.0,0.0,0.0
0096,EEL RIVER ELEMENTARY SCHOOL,18003,2.0,2.0,2.0,2.0,2.0,2.0,-85.19198513,41.19976643,0.0,0.0,0.0,0.0,0.0,0.0
0101,NORTH SIDE HIGH SCHOOL,18003,2.0,1.0,2.0,1.0,1.0,1.0,-85.135808,41.09687301,0.0,0.0,0.0,0.0,0.0,0.0
0102,R NELSON SNIDER HIGH SCHOOL,18003,1.0,0.0,2.0,2.0,2.0,2.0,-85.08219342,41.10870898,0.0,11.0,0.0,0.0,0.0,0.0
0105,SOUTH SIDE HIGH SCHOOL,18003,2.0,1.0,2.0,1.0,2.0,2.0,-85.1369451,41.05327707,0.0,0.0,0.0,0.0,0.0,0.0
0107,BLACKHAWK MIDDLE SCHOOL,18003,2.0,1.0,2.0,2.0,2.0,1.0,-85.05059261,41.10601267,0.0,0.0,0.0,0.0,0.0,0.0
0108,IMPACT ACADEMY,18097,3.0,3.0,3.0,3.0,3.0,3.0,-86.21772517,39.77153028,,,,,,
0109,THRIVAL ACADEMY,18097,3.0,3.0,3.0,3.0,3.0,3.0,-86.13491761,39.77623899,,,,,,
0118,JEFF H TOWLES INTERMEDIATE SCHOOL,18003,2.0,2.0,2.0,1.0,2.0,1.0,-85.12955169,41.03154741,0.0,0.0,0.0,0.0,0.0,0.0
0119,JEFFERSON MIDDLE SCHOOL,18003,1.0,1.0,2.0,2.0,2.0,1.0,-85.0237376,41.13101878,0.0,0.0,0.0,0.0,0.0,0.0
0121,KEKIONGA MIDDLE SCHOOL,18003,2.0,1.0,2.0,2.0,2.0,2.0,-85.17618208,41.04560519,0.0,0.0,0.0,0.0,0.0,0.0
