school_id,school_name,county_fips,longitude,latitude,student_new_cases_categorized,teacher_new_cases_categorized,staff_new_cases_categorized,student_existing_cases_categorized,teacher_existing_cases_categorized,staff_existing_cases_categorized
0013,ADAMS CENTRAL MIDDLE SCHOOL,18001.0,-84.94287157,40.74582544,1-4,1-4,0,23.0,1-4,7.0
0017,SOUTH ADAMS MIDDLE SCHOOL,18001.0,-84.9592768,40.6471358,0,0,0,6.0,1-4,1-4
0020,ADAMS CENTRAL ELEMENTARY SCHOOL,18001.0,-84.94287157,40.74582544,1-4,0,1-4,20.0,8.0,14.0
0021,ADAMS CENTRAL HIGH SCHOOL,18001.0,-84.94287157,40.74582544,1-4,0,0,42.0,7.0,1-4
0023,SOUTH ADAMS HIGH SCHOOL,18001.0,-84.96053446,40.64683745,0,0,0,21.0,1-4,6.0
0025,SOUTH ADAMS ELEMENTARY SCHOOL,18001.0,-84.9598083,40.6471349,0,0,0,1-4,1-4,9.0
0029,BELLMONT SENIOR HIGH SCHOOL,18001.0,-84.91295495,40.83692664,1-4,0,0,26.0,1-4,0
0033,BELLMONT MIDDLE SCHOOL,18001.0,-84.91207827,40.83491628,1-4,0,0,7.0,1-4,0
0037,BELLMONT ELEMENTARY,18001.0,-84.91207827,40.83491628,1-4,0,1-4,13.0,1-4,1-4
0043,PRINCE CHAPMAN ACADEMY,18003.0,-85.07687578,41.03257317,1-4,1-4,0,11.0,7.0,11.0
0045,ABOITE ELEMENTARY SCHOOL,18003.0,-85.28647806,41.03874386,1-4,0,1-4,12.0,1-4,1-4
0046,WHISPERING MEADOW ELEMENTARY SCHOOL,18003.0,-85.25623658,41.07904918,1-4,0,0,14.0,1-4,1-4
0047,HOMESTEAD SENIOR HIGH SCHOOL,18003.0,-85.28455686,41.0416462,15.0,0,1-4,77.0,1-4,9.0
0049,LEO JR/SR HIGH SCHOOL,18003.0,-85.01882439,41.22010347,1-4,0,0,62.0,7.0,1-4
0053,LEO ELEMENTARY SCHOOL,18003.0,-85.01267832,41.22230873,1-4,0,0,17.0,9.0,0
0063,SUMMIT MIDDLE SCHOOL,18003.0,-85.28414937,41.04441183,1-4,0,0,27.0,1-4,1-4
0064,LAFAYETTE MEADOW SCHOOL,18003.0,-85.29261155,40.9950588,1-4,0,0,12.0,1-4,1-4
0067,WOODSIDE MIDDLE SCHOOL,18003.0,-85.31267143,41.06341322,1-4,0,1-4,22.0,1-4,1-4
0068,HAVERHILL ELEMENTARY SCHOOL,18003.0,-85.269322,41.03972495,1-4,0,0,15.0,1-4,1-4
0069,ARCOLA SCHOOL,18003.0,-85.2884129,41.1050182,1-4,0,0,8.0,0,1-4
0071,DEER RIDGE ELEMENTARY,18003.0,-85.27466925,41.07061919,1-4,0,0,8.0,1-4,1-4
0072,COVINGTON ELEMENTARY SCHOOL,18003.0,-85.31212205,41.06102006,0,0,0,10.0,6.0,1-4
0079,MAPLE CREEK MIDDLE SCHOOL,18003.0,-85.13675954,41.19993966,1-4,0,0,37.0,1-4,1-4
0081,HERITAGE JR/SR HIGH SCHOOL,18003.0,-84.96123658,40.97787589,1-4,0,0,28.0,1-4,1-4
0083,NEW HAVEN PRIMARY SCHOOL,18003.0,-85.00673188,41.06170534,0,0,0,10.0,0,1-4
0087,HICKORY CENTER ELEMENTARY SCHOOL,18003.0,-85.19448049,41.18435517,1-4,0,0,11.0,1-4,1-4
0089,HUNTERTOWN ELEMENTARY SCHOOL,18003.0,-85.17194484,41.22465553,1-4,0,0,12.0,1-4,10.0
0090,CARROLL MIDDLE SCHOOL,18003.0,-85.19654326,41.20584238,1-4,1-4,0,27.0,7.0,1-4
0091,CARROLL HIGH SCHOOL,18003.0,-85.19247588,41.19064216,8.0,0,0,140.0,1-4,8.0
0092,PERRY HILL ELEMENTARY SCHOOL,18003.0,-85.13552507,41.20454254,1-4,0,1-4,12.0,1-4,1-4
0094,OAK VIEW ELEMENTARY SCHOOL,18003.0,-85.13728627,41.20488524,0,0,0,11.0,1-4,1-4
0095,CEDAR CANYON ELEMENTARY SCHOOL,18003.0,-85.13390935,41.22252717,0,0,0,22.0,7.0,1-4
0096,EEL RIVER ELEMENTARY SCHOOL,18003.0,-85.19198513,41.19976643,0,0,0,10.0,1-4,1-4
0101,NORTH SIDE HIGH SCHOOL,18003.0,-85.135808,41.09687301,1-4,0,1-4,32.0,6.0,16.0
0102,R NELSON SNIDER HIGH SCHOOL,18003.0,-85.08219342,41.10870898,12.0,0,0,57.0,1-4,9.0
0105,SOUTH SIDE HIGH SCHOOL,18003.0,-85.1369451,41.05327707,7.0,0,1-4,39.0,10.0,9.0
0107,BLACKHAWK MIDDLE SCHOOL,18003.0,-85.05059261,41.10601267,1-4,1-4,1-4,14.0,1-4,9.0
0108,IMPACT ACADEMY,18097.0,-86.21772517,39.77153028,not reported,not reported,not reported,not reported,not reported,not reported
0109,THRIVAL ACADEMY,18097.0,-86.13491761,39.77623899,0,0,0,0,0,0
0118,JEFF H TOWLES INTERMEDIATE SCHOOL,18003.0,-85.12955169,41.03154741,0,0,1-4,9.0,7.0,1-4
0119,JEFFERSON MIDDLE SCHOOL,18003.0,-85.0237376,41.13101878,1-4,1-4,0,15.0,6.0,8.0
0121,KEKIONGA MIDDLE SCHOOL,18003.0,-85.17618208,41.04560519,0,0,0,10.0,1-4,1-4
0125,LAKESIDE MIDDLE SCHOOL,18003.0,-85.11124285,41.08956105,0,0,1-4,1-4,1-4,10.0
0126,LANE MIDDLE SCHOOL,18003.0,-85.07870379,41.10548561,1-4,0,1-4,10.0,1-4,1-4
0127,MEMORIAL PARK MIDDLE SCHOOL,18003.0,-85.10930592,41.07551321,1-4,0,0,19.0,1-4,1-4
0128,MIAMI MIDDLE SCHOOL,18003.0,-85.16411238,41.01073414,0,0,0,1-4,1-4,11.0
0129,NORTHWOOD MIDDLE SCHOOL,18003.0,-85.12547123,41.13345489,1-4,0,0,14.0,1-4,1-4
0133,PORTAGE MIDDLE SCHOOL,18003.0,-85.18726791,41.06716433,1-4,0,1-4,1-4,1-4,6.0
0134,WEISSER PARK ELEMENTARY SCHOOL,18003.0,-85.12418024,41.0575242,1-4,0,0,16.0,8.0,1-4
0136,FAIRFIELD ELEMENTARY SCHOOL,18003.0,-85.14476161,41.05910701,0,0,0,1-4,6.0,1-4
0137,MERLE J ABBETT ELEMENTARY SCHOOL,18003.0,-85.12141426,41.04498538,1-4,0,0,11.0,1-4,9.0
0139,PARAMOUNT COTTAGE HOME,18097.0,-86.1367762,39.7773307,0,0,0,0,0,0
0141,ADAMS ELEMENTARY SCHOOL,18003.0,-85.09944397,41.06858305,0,0,0,1-4,0,1-4
0149,BLOOMINGDALE ELEMENTARY SCHOOL,18003.0,-85.14791111,41.08616221,1-4,0,0,1-4,6.0,1-4
0151,BUNCHE ELEMENTARY SCHOOL,18003.0,-85.12249798,41.06620206,0,0,0,1-4,1-4,1-4
0153,BRENTWOOD ELEMENTARY SCHOOL,18003.0,-85.09227773,41.09942095,1-4,0,0,7.0,1-4,1-4
0154,FRED H CRONINGER ELEMENTARY SCHOOL,18003.0,-85.05366554,41.1133047,0,1-4,1-4,22.0,6.0,7.0
0157,FOREST PARK ELEMENTARY SCHOOL,18003.0,-85.12072493,41.0941448,1-4,0,0,9.0,1-4,6.0
0161,FRANKE PARK ELEMENTARY SCHOOL,18003.0,-85.15341068,41.10224388,0,0,0,7.0,1-4,7.0
0162,GLENWOOD PARK ELEMENTARY SCHOOL,18003.0,-85.08369845,41.10527585,1-4,0,0,10.0,1-4,1-4
0164,J WILBUR HALEY ELEMENTARY SCHOOL,18003.0,-85.0602289,41.09850043,1-4,0,0,14.0,1-4,13.0
0177,WAYNE HIGH SCHOOL,18003.0,-85.13773141,41.00153136,0,0,0,22.0,8.0,20.0
0178,HARRISON HILL ELEMENTARY SCHOOL,18003.0,-85.14111504,41.04363664,1-4,1-4,0,9.0,9.0,7.0
0186,MABEL K HOLLAND ELEMENTARY SCHOOL,18003.0,-85.11750492,41.14321798,0,0,0,1-4,1-4,13.0
0189,INDIAN VILLAGE ELEMENTARY SCHOOL,18003.0,-85.17549274,41.05031516,1-4,0,0,10.0,6.0,11.0
0193,JOHN S IRWIN ELEMENTARY SCHOOL,18003.0,-85.11340246,41.05303918,1-4,0,0,1-4,1-4,8.0
0197,LINDLEY ELEMENTARY SCHOOL,18003.0,-85.18973185,41.06423761,0,0,0,1-4,1-4,1-4
0205,MAPLEWOOD ELEMENTARY SCHOOL,18003.0,-85.16478334,41.01412509,1-4,0,0,11.0,7.0,1-4
0209,WILLARD SHAMBAUGH ELEMENTARY SCHOOL,18003.0,-85.0727672,41.15386836,1-4,0,0,1-4,1-4,1-4
0217,NORTHCREST ELEMENTARY SCHOOL,18003.0,-85.13109134,41.12651212,1-4,0,0,10.0,7.0,1-4
0219,NORTHROP HIGH SCHOOL,18003.0,-85.13660351,41.14503233,1-4,0,1-4,55.0,7.0,14.0
0221,FRANCIS M PRICE ELEMENTARY SCHOOL,18003.0,-85.16965649,41.09572393,1-4,0,0,11.0,1-4,1-4
0233,SAINT JOSEPH CENTRAL SCHOOL,18003.0,-85.06094528,41.13516819,0,0,0,7.0,1-4,1-4
0239,ROBERT C HARRIS ELEMENTARY SCHOOL,18003.0,-85.08490195,41.12571956,0,0,0,11.0,1-4,1-4
0240,SHAWNEE MIDDLE SCHOOL,18003.0,-85.12737966,41.14749327,0,0,0,12.0,8.0,1-4
0241,WHITNEY M YOUNG EARLY CHILDHOOD,18003.0,-85.1228981,41.06001817,0,0,0,10.0,1-4,1-4
0242,SMITH ACADEMY FOR EXCELLENCE,18003.0,-85.14889801,41.07559612,0,0,0,1-4,0,0
0249,LEVAN R SCOTT ACADEMY,18003.0,-85.12369082,41.03661037,0,0,0,1-4,7.0,1-4
0253,SOUTH WAYNE ELEMENTARY SCHOOL,18003.0,-85.14829773,41.05790165,1-4,0,0,1-4,1-4,8.0
0257,STUDY ELEMENTARY SCHOOL,18003.0,-85.16543792,41.06280584,0,0,0,1-4,1-4,1-4
0265,WASHINGTON ELEMENTARY SCHOOL,18003.0,-85.15221198,41.07497405,0,0,1-4,1-4,1-4,1-4
0269,WASHINGTON CENTER ELEMENTARY SCHOOL,18003.0,-85.17018049,41.16126543,1-4,1-4,1-4,1-4,6.0,10.0
0270,LINCOLN ELEMENTARY SCHOOL,18003.0,-85.12893548,41.14772627,1-4,1-4,1-4,11.0,8.0,6.0
0273,WAYNEDALE ELEMENTARY SCHOOL,18003.0,-85.17382482,41.01691684,0,0,0,8.0,1-4,1-4
0275,ARLINGTON ELEMENTARY SCHOOL,18003.0,-85.03815167,41.13550289,1-4,0,0,11.0,6.0,1-4
0281,HERITAGE ELEMENTARY SCHOOL,18003.0,-84.95984553,40.97505601,1-4,0,0,13.0,8.0,1-4
0285,WOODLAN JR/SR HIGH SCHOOL,18003.0,-84.91760057,41.1236584,1-4,0,0,35.0,1-4,1-4
0291,CEDARVILLE ELEMENTARY SCHOOL,18003.0,-85.04719686,41.19679929,1-4,0,0,23.0,1-4,1-4
0294,PAUL HARDING JR HIGH SCHOOL,18003.0,-85.07630335,41.02671777,0,0,0,6.0,8.0,1-4
0297,NEW HAVEN JR/SR HIGH SCHOOL,18003.0,-85.01206366,41.06453408,1-4,0,0,52.0,26.0,11.0
0305,NEW HAVEN INTERMEDIATE SCHOOL,18003.0,-85.03309832,41.06402575,1-4,0,0,12.0,1-4,1-4
0310,SOUTHWICK ELEMENTARY SCHOOL,18003.0,-85.07761172,41.02673297,1-4,0,1-4,1-4,1-4,6.0
0323,WOODLAN ELEMENTARY SCHOOL,18003.0,-84.92042081,41.12365688,1-4,1-4,0,9.0,1-4,1-4
0328,CLIFTY CREEK ELEMENTARY SCHOOL,18005.0,-85.86724376,39.20739001,8.0,0,0,11.0,1-4,1-4
0346,CSA LINCOLN CAMPUS,18005.0,-85.91582572,39.20372209,0,0,0,6.0,1-4,1-4
0353,MOUNT HEALTHY ELEMENTARY SCHOOL,18005.0,-86.0352706,39.09126974,0,0,1-4,6.0,1-4,1-4
0357,PARKSIDE ELEMENTARY SCHOOL,18005.0,-85.90976915,39.24178007,1-4,1-4,0,11.0,1-4,6.0
0363,W D RICHARDS ELEMENTARY SCHOOL,18005.0,-85.86993851,39.23402278,1-4,0,0,9.0,1-4,1-4
0366,ROCKCREEK ELEMENTARY SCHOOL,18005.0,-85.78059132,39.17431016,1-4,0,1-4,1-4,0,1-4
0369,LILLIAN SCHMITT ELEMENTARY SCHOOL,18005.0,-85.91417903,39.22653733,1-4,0,0,10.0,1-4,1-4
0371,L F SMITH ELEMENTARY,18005.0,-85.87058716,39.22037181,1-4,0,0,12.0,1-4,1-4
0375,CSA FODREA CAMPUS,18005.0,-85.89248889,39.19527231,1-4,0,0,7.0,1-4,1-4
0377,TAYLORSVILLE ELEMENTARY SCHOOL,18005.0,-85.9482738,39.2982703,1-4,0,0,9.0,1-4,6.0
0390,CENTRAL MIDDLE SCHOOL,18005.0,-85.91724076,39.20521125,1-4,0,0,15.0,0,1-4
0392,SOUTHSIDE ELEMENTARY SCHOOL,18005.0,-85.93770499,39.1724244,1-4,1-4,0,11.0,1-4,6.0
0394,EAST ALLEN UNIVERSITY,18003.0,-85.07630335,41.02671777,1-4,0,0,9.0,0,1-4
0395,NORTHSIDE MIDDLE SCHOOL,18005.0,-85.909818,39.22775883,1-4,0,0,16.0,0,1-4
0397,COLUMBUS NORTH HIGH SCHOOL,18005.0,-85.9102741,39.22354204,1-4,0,0,63.0,6.0,10.0
0399,COLUMBUS EAST HIGH SCHOOL,18005.0,-85.88669373,39.19454744,1-4,0,0,64.0,1-4,1-4
0409,HOPE ELEMENTARY SCHOOL,18005.0,-85.77035077,39.29482021,1-4,0,0,13.0,1-4,6.0
0410,HAUSER JR/SR HIGH SCHOOL,18005.0,-85.69560249,39.29271263,1-4,0,0,42.0,6.0,6.0
0421,OTTERBEIN ELEMENTARY SCHOOL,18007.0,-87.09784398,40.49079107,12.0,0,1-4,29.0,1-4,6.0
0433,BOSWELL ELEMENTARY SCHOOL,18007.0,-87.38616381,40.51705169,0,0,0,1-4,1-4,6.0
0445,BENTON CENTRAL JR/SR HIGH SCHOOL,18007.0,-87.24262019,40.56410674,0,0,0,85.0,10.0,10.0
0446,PRAIRIE CROSSING ELEMENTARY SCHOOL,18007.0,-87.24757273,40.56606954,8.0,0,0,29.0,1-4,1-4
0485,MONTPELIER SCHOOL,18009.0,-85.27816062,40.55196017,0,0,0,6.0,1-4,0
0489,BLACKFORD JR/SR HIGH SCHOOL,18009.0,-85.37167927,40.48502958,0,0,0,45.0,1-4,7.0
0494,BLACKFORD INTERMEDIATE SCHOOL,18009.0,-85.36364012,40.46003832,0,0,0,11.0,1-4,0
0501,NORTH SIDE ELEMENTARY SCHOOL,18009.0,-85.36587263,40.43818961,0,0,0,1-4,1-4,1-4
0510,ZIONSVILLE WEST MIDDLE SCHOOL,18011.0,-86.33647933,39.96043498,1-4,0,1-4,81.0,1-4,14.0
0511,ZIONSVILLE MIDDLE SCHOOL,18011.0,-86.28445806,39.96100257,8.0,0,0,77.0,6.0,11.0
0512,ZIONSVILLE COMMUNITY HIGH SCHOOL,18011.0,-86.27402442,39.96105143,11.0,0,0,181.0,15.0,11.0
0514,EAGLE ELEMENTARY SCHOOL,18011.0,-86.26812033,39.953979,1-4,0,0,28.0,1-4,1-4
0517,ZIONSVILLE PLEASANT VIEW ELEMENTARY SCHOOL,18011.0,-86.28614441,39.97187462,0,0,0,35.0,1-4,7.0
0521,GRANVILLE WELLS ELEMENTARY SCHOOL,18011.0,-86.62040724,39.9661773,1-4,0,0,18.0,1-4,1-4
0534,PERRY WORTH ELEMENTARY SCHOOL,18011.0,-86.39512221,39.99731744,0,0,0,7.0,1-4,1-4
0537,THORNTOWN ELEMENTARY SCHOOL,18011.0,-86.60795159,40.12444897,1-4,0,0,15.0,1-4,1-4
0539,WESTERN BOONE JR/SR HIGH SCHOOL,18011.0,-86.61389987,40.0564029,0,0,0,56.0,1-4,7.0
0541,UNION ELEMENTARY SCHOOL,18011.0,-86.24643872,39.99972154,1-4,0,0,31.0,1-4,1-4
0542,STONEGATE ELEMENTARY,18011.0,-86.33073571,39.95542642,7.0,0,0,48.0,1-4,7.0
0544,BOONE MEADOW,18011.0,-86.3439373,39.960418,1-4,0,0,28.0,1-4,1-4
0553,LEBANON SENIOR HIGH SCHOOL,18011.0,-86.46216126,40.05875361,13.0,1-4,0,67.0,9.0,10.0
0557,LEBANON MIDDLE SCHOOL,18011.0,-86.45695296,40.06245162,0,0,0,29.0,0,7.0
0561,CENTRAL ELEMENTARY SCHOOL,18011.0,-86.46354137,40.04992996,1-4,0,0,8.0,1-4,1-4
0565,HARNEY ELEMENTARY SCHOOL,18011.0,-86.47783884,40.05865599,0,0,0,15.0,0,10.0
0569,HATTIE B STOKES ELEMENTARY SCHOOL,18011.0,-86.45596457,40.03394548,0,0,0,9.0,1-4,7.0
0571,BROWN COUNTY INTERMEDIATE SCHOOL,18013.0,-86.24507312,39.20330548,0,0,0,1-4,1-4,1-4
0573,BROWN COUNTY HIGH SCHOOL,18013.0,-86.2439528,39.2046253,1-4,0,0,31.0,1-4,6.0
0577,VAN BUREN ELEMENTARY SCHOOL,18013.0,-86.16095811,39.13608447,1-4,0,0,6.0,0,1-4
0581,HELMSBURG ELEMENTARY SCHOOL,18013.0,-86.28892715,39.2721105,1-4,0,1-4,1-4,1-4,1-4
0585,SPRUNICA ELEMENTARY SCHOOL,18013.0,-86.18430812,39.28260851,0,0,0,1-4,1-4,1-4
0587,BROWN COUNTY JUNIOR HIGH,18013.0,-86.2437101,39.2054087,1-4,1-4,0,17.0,1-4,1-4
0609,DELPHI COMMUNITY MIDDLE SCHOOL,18015.0,-86.66719231,40.57543363,1-4,0,0,26.0,1-4,9.0
0621,CARROLL JR/SR HIGH SCHOOL,18015.0,-86.48060628,40.54600068,1-4,0,0,41.0,1-4,16.0
0629,CARROLL ELEMENTARY SCHOOL,18015.0,-86.48103426,40.54380164,1-4,0,0,35.0,1-4,1-4
0637,DELPHI COMMUNITY HIGH SCHOOL,18015.0,-86.66587429,40.57564566,1-4,0,0,43.0,8.0,16.0
0641,DELPHI COMMUNITY ELEMENTARY SCHOOL,18015.0,-86.67091134,40.57862464,1-4,1-4,0,29.0,1-4,9.0
0645,PIONEER JR/SR HIGH SCHOOL,18017.0,-86.4942132,40.8609819,1-4,0,1-4,21.0,1-4,8.0
0649,PIONEER ELEMENTARY SCHOOL,18017.0,-86.5001672,40.8675954,7.0,1-4,1-4,25.0,1-4,1-4
0689,LEWIS CASS HIGH SCHOOL,18017.0,-86.25107908,40.66308804,20.0,1-4,0,22.0,1-4,0
0691,LEWIS CASS JUNIOR HIGH SCHOOL,18017.0,-86.25107908,40.66308804,0,0,0,0,0,0
0692,LEWIS CASS POLYTECHNIC ACADEMY,18017.0,-86.19236174,40.57463525,not reported,not reported,not reported,not reported,not reported,not reported
0695,LEWIS CASS ELEMENTARY SCHOOL,18017.0,-86.21744982,40.71539708,6.0,0,0,17.0,1-4,6.0
0701,LOGANSPORT COMMUNITY HIGH SCHOOL,18017.0,-86.332296,40.74977471,8.0,0,1-4,100.0,6.0,21.0
0702,LOGANSPORT JUNIOR HIGH SCHOOL,18017.0,-86.32858588,40.75292418,0,0,0,18.0,1-4,7.0
